real_link,gender,age,foreign,leri,sexuality,round,predicted_expression,predicted_competence,predicted_trustworthiness,predicted_attractiveness,predicted_gender,predicted_sexuality,predicted_ethnicity,real_ethnicity,real_gender,real_expression,dif_gender,dif_ethnicity
https://images.generated.photos/2WJkUriysfMeQ826_bODFF5zA2MTT-CNLF15Nn0xFQA/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA5OTgyNDkuanBn.jpg,2.5454545454545454,3.272727272727273,1.4090909090909092,6.454545454545454,2.727272727272727,5.2272727272727275,8,7.409090909090909,7.318181818181818,6.409090909090909,0.8636363636363636,1.7272727272727273,0.13636363636363635,0,1,1,-0.13636363636363635,0.13636363636363635
https://images.generated.photos/3Q-0Fupk_PGz_Lc1lV3kJfJJZT6sSoL4YOZMbIaUdZc/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA1MTcwODYuanBn.jpg,2.5238095238095237,3.1904761904761907,1.5714285714285714,6.857142857142857,2.9,5.285714285714286,7.095238095238095,8.428571428571429,8.19047619047619,8.523809523809524,1,2,0,0,1,0,0,0
https://images.generated.photos/466BInUMrULjiWDKvIcBfuYnwL3tQWqvfLeGMWYsekg/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA3MDkyMDRfMDc0/NjM2OF8wNDYzODU3/LmpwZw.jpg,2.36,3.36,1.32,5.6,2.76,6.68,4.96,6.76,6.68,6.28,0.04,1.72,0.88,1,0,1,0.04,-0.12
https://images.generated.photos/46BOHKuZOtSaj-PpNT3OTwayVVysoxjZCjuCic7I5HY/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzAzODIwNDcuanBn.jpg,2.5,2.6818181818181817,1.7272727272727273,7.2727272727272725,2.857142857142857,6.454545454545454,3.3636363636363638,7.681818181818182,7.7272727272727275,7.454545454545454,0,1.8636363636363635,0,0,0,1,0,0
https://images.generated.photos/4EB0GyS74a390zAj7GKUge7guq9nNj4sYmZhlrZhhFc/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA5MzIwODkuanBn.jpg,2.52,3.08,1.48,5.88,2.9130434782608696,4.92,6.24,7.24,7.56,6.8,0.24,1.64,0.08,0,0,1,0.24,0.08
https://images.generated.photos/4M0c_wtHxmHD9_NChTmEqEKdAzTQoISKy7EX8TIz8Ok/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzAxMjYyODkuanBn.jpg,2.391304347826087,3.130434782608696,1.826086956521739,5.608695652173913,2.782608695652174,5.869565217391305,6.869565217391305,7.826086956521739,7.565217391304348,7.956521739130435,0.9130434782608695,1.9565217391304348,0.2608695652173913,1,1,0,-0.08695652173913049,-0.7391304347826086
https://images.generated.photos/4VMNKUXfkao3OkFZflGjtVDK7ITiEKgNhKb4X2ptLGI/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA0Mzc0NjVfMDEw/MzAyOF8wNjIzOTg4/LmpwZw.jpg,2.3846153846153846,2.8846153846153846,1.5769230769230769,6.538461538461538,2.8461538461538463,5.346153846153846,3.6153846153846154,7.269230769230769,6.6923076923076925,7.230769230769231,0,1.9230769230769231,1,1,0,0,0,0
https://images.generated.photos/6dHQ7MN7sCLLzutUbtdaEHtn4xWNWPhbj1v0zMT6Yk4/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA3ODg0ODRfMDE5/ODUyOF8wNTUyNzEz/LmpwZw.jpg,2.5238095238095237,2.9047619047619047,1.1428571428571428,5.666666666666667,2.5714285714285716,5.666666666666667,3.142857142857143,7.380952380952381,7.285714285714286,7.333333333333333,0,2,1,1,0,0,0,0
https://images.generated.photos/6ozUNEgji_BIOxYYyL1K9VsNC_JMF3R_vsfXUZwN5t8/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA2MjY2NjJfMDc4/NjA4OF8wODMwNTc3/LmpwZw.jpg,2.230769230769231,3.269230769230769,1.4230769230769231,5.961538461538462,2.6538461538461537,4.538461538461538,3.6153846153846154,7.1923076923076925,6.653846153846154,6.5,0,1.9615384615384615,0.9615384615384616,1,0,0,0,-0.038461538461538436
https://images.generated.photos/7gnEFk8mRE1euc4OBp_WzhJSK-nG4k8igiChhZrcp8s/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA1NDE1NzQuanBn.jpg,2.65,3.15,1.45,6.3,2.85,6.15,5.4,7.8,7.85,7.45,0,1.85,0.1,0,0,1,0,0.1
